21, the Ville, artist's co-living space, Latoya Williams's room
22, the Ville, artist's co-living space, Latoya Williams's bathroom
23, the Ville, artist's co-living space, Rajiv Patel's room
24, the Ville, artist's co-living space, Rajiv Patel's bathroom
25, the Ville, artist's co-living space, Abigail Chen's room
26, the Ville, artist's co-living space, Abigail Chen's bathroom
29, the Ville, artist's co-living space, Francisco Lopez's room
30, the Ville, artist's co-living space, Francisco Lopez's bathroom
31, the Ville, artist's co-living space, Hailey Johnson's room
32, the Ville, artist's co-living space, Hailey Johnson's bathroom
34, the Ville, artist's co-living space, common room
33, the Ville, artist's co-living space, kitchen

40, the Ville, Hobbs Cafe, sofa
41, the Ville, Hobbs Cafe, meeting table
42, the Ville, Hobbs Cafe, cafe
43, the Ville, Hobbs Cafe, front desk

44, the Ville, Supermarket, outdoor area
45, the Ville, Supermarket, home appliance area
46, the Ville, Supermarket, food area
47, the Ville, Supermarket, checkout counter

48, the Ville, Restaurant, dining area
49, the Ville, Restaurant, VIP room1
50, the Ville, Restaurant, VIP room2
52, the Ville, Restaurant, VIP room3
53, the Ville, Restaurant, kitchen
54, the Ville, Restaurant, bathroom


55, the Ville, Gym, room
56, the Ville, Library, room


57, the Ville, Arthur Burton's apartment, main room
58, the Ville, Arthur Burton's apartment, bathroom
59, the Ville, Ryan Park's apartment, main room
60, the Ville, Ryan Park's apartment, bathroom
61, the Ville, Isabella Rodriguez's apartment, main room
2, the Ville, Isabella Rodriguez's apartment, bathroom
62, the Ville, Giorgio Rossi's apartment, main room
3, the Ville, Giorgio Rossi's apartment, bathroom
63, the Ville, Carlos Gomez's apartment, main room
4, the Ville, Carlos Gomez's apartment, bathroom

104, the Ville, Tamara Taylor and Carmen Ortiz's house, Tamara Taylor's room
103, the Ville, Tamara Taylor and Carmen Ortiz's house, Carmen Ortiz's room
100, the Ville, Tamara Taylor and Carmen Ortiz's house, common room
101, the Ville, Tamara Taylor and Carmen Ortiz's house, kitchen
102, the Ville, Tamara Taylor and Carmen Ortiz's house, bathroom
74, the Ville, Tamara Taylor and Carmen Ortiz's house, garden

108, the Ville, Moreno family's house, Tom and Jane Moreno's bedroom
109, the Ville, Moreno family's house, empty bedroom
105, the Ville, Moreno family's house, common room
106, the Ville, Moreno family's house, kitchen
107, the Ville, Moreno family's house, bathroom
117, the Ville, Moreno family's house, garden

114, the Ville, Lin family's house, Mei and John Lin's bedroom
115, the Ville, Lin family's house, Eddy Lin's bedroom
110, the Ville, Lin family's house, common room
111, the Ville, Lin family's house, kitchen
112, the Ville, Lin family's house, bathroom
116, the Ville, Lin family's house, garden
